species_name	tissue	thirdq	median	firstq
B. diminuta	buccal	0.00579691461110122	0.00154519862319225	0.000735426002099679
B. diminuta	hair	0.0087498182539145	0.00425055627477659	0.000971144679265579
B. diminuta	saliva	3.49905315136909e-05	8.35860589928145e-06	2.66787440553489e-06
B. diminuta	urine	0.089995497669329	0.041853948842272	0.00438670829921387
B. vancanneytii	buccal	0.00632639587718436	0.00166613152410945	0.000790567352491915
B. vancanneytii	hair	0.00982347041749442	0.00435809163568497	0.00118652262575135
B. vancanneytii	saliva	4.10415210281207e-05	1.0569489881955e-05	3.20057629409869e-06
B. vancanneytii	urine	0.106155467972126	0.0491710303471432	0.00439998235953626
C. ureolyticus	buccal	4.50249158426227e-05	0	0
C. ureolyticus	hair	0	0	0
C. ureolyticus	saliva	8.40301963131665e-05	4.64117425072564e-05	2.60225771646367e-05
C. ureolyticus	urine	0.0351538095645449	0	0
C. acnes	buccal	0.00197354567466833	0.000584347968893829	0.000179420473183629
C. acnes	hair	0.0684677648354161	0.0307715005935695	0.0129180147063147
C. acnes	saliva	0.000120771027613411	3.75613724148202e-05	1.20890697179676e-05
C. acnes	urine	0.0219804337264425	0.010619064742444	0.00454180645824863
F. magna	buccal	0	0	0
F. magna	hair	0	0	0
F. magna	saliva	3.7059752222136e-06	0	0
F. magna	urine	0.0235478960133807	0.000724029746997949	0
F. nucleatum	buccal	0.0710058213038143	0.0308556848836931	0.012976067526599
F. nucleatum	hair	0	0	0
F. nucleatum	saliva	0.0789885231618062	0.0394563535539742	0.0247439747923155
F. nucleatum	urine	0.00232708464535595	0	0
F. periodonticum	buccal	0.0561989059252069	0.0182920727389745	0.00948944433844177
F. periodonticum	hair	0	0	0
F. periodonticum	saliva	0.146062251076603	0.101005016964875	0.047381570214827
F. periodonticum	urine	8.25025160598648e-05	0	0
F. pseudoperiodonticum	buccal	0.0976547092250624	0.0313004069018527	0.0158171991651706
F. pseudoperiodonticum	hair	0	0	0
F. pseudoperiodonticum	saliva	0.237955260789592	0.160340939314615	0.0801669018894956
F. pseudoperiodonticum	urine	0.000227529990692622	0	0
G. sanguinis	buccal	0.00330446746890586	0.00107660554222193	0.00053882387737535
G. sanguinis	hair	0	0	0
G. sanguinis	saliva	0.166814891718215	0.103158788552727	0.000926688858879244
G. sanguinis	urine	0	0	0
H. parainfluenzae	buccal	0.118120360392529	0.0513451268086557	0.015749566997376
H. parainfluenzae	hair	0	0	0
H. parainfluenzae	saliva	0.0317994352472986	0.0173712560207459	0.00934185584822433
H. parainfluenzae	urine	0	0	0
Human endogenous retrovirus	buccal	0.0187878784367366	0	0
Human endogenous retrovirus	hair	1.8506815278845	0.441600817082113	0.141284234226151
Human endogenous retrovirus	saliva	0.0124892899926384	0.0020178286083689	0.000541254902085807
Human endogenous retrovirus	urine	4.10570412075863	1.05989675916104	0.155236217437232
L. sp. oral	buccal	0.0486199098201509	0.0212060286209976	0.0101667882226087
L. sp. oral	hair	0	0	0
L. sp. oral	saliva	0.0383317745154887	0.0182428486577422	0.00734055020570056
L. sp. oral	urine	0	0	0
L. wadei	buccal	0.0395833471686459	0.0180574812708993	0.00373017164884592
L. wadei	hair	0	0	0
L. wadei	saliva	0.0465935222910654	0.0121035433761698	0.00186741209083911
L. wadei	urine	0	0	0
M. restricta	buccal	9.60871353952533e-05	2.96264935451381e-05	3.31402755091807e-06
M. restricta	hair	0.249365380741787	0.234651044989173	0.181171937208573
M. restricta	saliva	6.91135924245186e-06	2.13201831134798e-06	5.62489963701117e-07
M. restricta	urine	0.00336414457432397	0.000556701907618587	0
N. gonorrhoeae	buccal	0.00212794697150525	0.00109573016177365	0.000392065575426525
N. gonorrhoeae	hair	0.0670024302762284	0.0259177001065974	0.0087740609918051
N. gonorrhoeae	saliva	0.00194565855672982	0.000640625672872812	0.000336346544282817
N. gonorrhoeae	urine	0.0222479695307368	0.00839719469039884	0.000654148367789854
P. jejuni	buccal	0.0542691431900726	0.0167009971042079	0.00451182486718679
P. jejuni	hair	0	0	0
P. jejuni	saliva	0.0303497436536476	0.00604131185018745	0.000987563562943732
P. jejuni	urine	0.00732561938737031	0	0
P. melaninogenica	buccal	0.157010211762553	0.0697132315691873	0.0192376344854074
P. melaninogenica	hair	0	0	0
P. melaninogenica	saliva	0.0600378234084624	0.0196653953844054	0.00392067385082856
P. melaninogenica	urine	0.00886789553780497	0.000520302421361596	0
S. australis	buccal	0.0568097815820347	0.0107811915706643	0.00542554767546726
S. australis	hair	0	0	0
S. australis	saliva	0.12196918701486	0.0525613333511671	0.0017074137725005
S. australis	urine	0.00102675017730188	0	0
S. gwangjuense	buccal	0.0818812328752899	0.0145084216112355	0.00603911858675158
S. gwangjuense	hair	0	0	0
S. gwangjuense	saliva	0.0567946230513516	0.0288883830696705	0.00087209865777383
S. gwangjuense	urine	0.00102908540845705	0	0
S. ilei	buccal	0.0220018800644866	0.00627018206156086	0.00271754224240398
S. ilei	hair	0	0	0
S. ilei	saliva	0.0869542205335705	0.0433947983109252	0.00104995699835665
S. ilei	urine	0.000444512602815528	0	0
S. koreensis	buccal	0.0248355716874335	0.00700278615402553	0.00336763214384924
S. koreensis	hair	0	0	0
S. koreensis	saliva	0.0814494527433802	0.0409336479428805	0.00116716530332537
S. koreensis	urine	0.000435041467225267	0	0
S. mitis	buccal	0.115791094843509	0.0196942261641496	0.00893092495687982
