Samples	Donor	Tissue	Total_reads	Mapped_reads	Unmapped_reads	Valid_reads	Rep_reads	Unknown	Prop_unmap_valid	Prop_unmap_rep	Prop_unmap_unkwn	Prop_tot_mapped	Prop_tot_valid	Prop_tot_rep	Prop_tot_unkwn
HEK1-buccal-C-Eh1-R1-hek-buccal	HEK1	hek	31110631	30160531	950100	12030	479948	458122	0.0126618250710452	0.505155246816125	0.48218292811283	0.96946060014019	0.000386684538799615	0.0154271380737986	0.0147255772472117
HEK1-buccal-C-Eh1-R2-hek-buccal	HEK1	hek	35041933	33910467	1131466	1840	611369	518257	0.00162620882996042	0.540333514219605	0.458040276950434	0.967711084887926	5.2508518865098e-05	0.0174467829728457	0.0147896236203636
HEK1-buccal-C-Eh1-R3-hek-buccal	HEK1	hek	31891873	30964201	927672	19030	470397	438245	0.0205137160548125	0.507072542881536	0.472413741063652	0.970911962430052	0.000596703743301624	0.014749745178027	0.013741588648619
HEK1-C-Eh1-R1-hek-illumina	HEK1	hek	10398607	10158851	239756	12722	99845	127189	0.0530622799846511	0.416444218288593	0.530493501726756	0.976943450214053	0.00122343310022198	0.00960176685204086	0.0122313498336845
HEK1-C-Eh1-R1-hek-smartseq	HEK1	hek	22311596	21575876	735720	12132	350736	372852	0.0164899690099494	0.476724840972109	0.506785190017942	0.967025218635189	0.000543753122815598	0.0157198974022298	0.016711130839766
HEK1-C-Eh1-R2-hek-illumina	HEK1	hek	12453968	12091978	361990	11662	167718	182610	0.0322163595679439	0.463322191220752	0.504461449211304	0.970933761833979	0.000936408380044015	0.0134670331576249	0.0146627966283517
HEK1-C-Eh1-R2-hek-smartseq	HEK1	hek	34598427	33661035	937392	16560	406307	514525	0.0176660351272467	0.433444066089747	0.548889898783006	0.972906513929087	0.000478634476648317	0.0117435107671224	0.0148713408271422
HEK1-C-Eh1-R3-hek-illumina	HEK1	hek	19242759	18481669	761090	19296	387959	353835	0.025353111984128	0.509741292094233	0.464905595921639	0.960447979419167	0.00100276680698438	0.0201612980758113	0.0183879556980369
HEK1-C-Eh1-R3-hek-smartseq	HEK1	hek	31000763	30239563	761200	27154	289142	444904	0.0356726221755123	0.379850236468734	0.584477141355754	0.975445765641317	0.000875913925086295	0.00932693172745458	0.0143513887061425
HEK1-hair-C-Eh1-R1-hek-hair	HEK1	hek	36633955	35641499	992456	36526	463658	492272	0.0368036467107862	0.467182424208227	0.496013929080987	0.97290884918104	0.000997053143729636	0.0126565095141925	0.013437588161038
HEK1-hair-C-Eh1-R2-hek-hair	HEK1	hek	44104526	42953706	1150820	5472	542417	602931	0.00475487044020785	0.47133087711371	0.523914252446082	0.973906986326075	0.000124068899414087	0.0122984430214713	0.01367050175304
HEK1-hair-C-Eh1-R3-hek-hair	HEK1	hek	42740666	41666642	1074024	12432	500152	561440	0.0115751603316127	0.465680468965312	0.522744370703076	0.974871144965312	0.000290870525976362	0.0117020169971146	0.0131359675115966
HEK1-saliva-C-Eh1-R1-hek-saliva	HEK1	hek	29085125	28185473	899652	17094	440379	442179	0.019000680263035	0.489499273052247	0.491500046684718	0.969068312410553	0.000587723105883162	0.0151410385893133	0.0152029258942501
HEK1-saliva-C-Eh1-R2-hek-saliva	HEK1	hek	33311937	32307135	1004802	2664	504383	497755	0.00265126860814369	0.501972527920924	0.495376203470933	0.96983657840131	7.99713327988102e-05	0.015141208990639	0.0149422412752522
HEK1-saliva-C-Eh1-R3-hek-saliva	HEK1	hek	35196013	34217463	978550	24426	474106	480018	0.0249614225129017	0.484498492667723	0.490540084819376	0.972197134942529	0.000693999061768729	0.0134704462121889	0.0136384197835135
HEK1-urine-C-Eh1-R1-hek-urine	HEK1	hek	30566380	29592972	973408	22760	475640	475008	0.0233817679739636	0.48863374864394	0.487984483382097	0.968154292395763	0.000744608946168961	0.0155608874848772	0.0155402111731909
HEK1-urine-C-Eh1-R2-hek-urine	HEK1	hek	33946907	32878245	1068662	3124	553311	512227	0.00292328163628912	0.517760526714714	0.479316191648997	0.968519606219206	9.20260570425459e-05	0.0162993052651306	0.015089062458621
HEK1-urine-C-Eh1-R3-hek-urine	HEK1	hek	29492017	28602137	889880	12872	437460	439548	0.0144648716680901	0.491594372274913	0.493940756056996	0.969826410991151	0.0004364570927787	0.0148331665480866	0.0149039653679842
HEK2-buccal-C-Eh2-R1-hek-buccal	HEK2	hek	36565253	35603471	961782	18416	479645	463721	0.0191477902476861	0.498704488127247	0.482147721625067	0.97369683179821	0.000503647547577477	0.0131175080341985	0.0126820126200139
HEK2-buccal-C-Eh2-R2-hek-buccal	HEK2	hek	26996391	26347885	648506	18854	291545	338107	0.0290729769655177	0.449564074966153	0.521362948068329	0.975978048325052	0.000698389647712541	0.0107994064836296	0.0125241555436058
HEK2-buccal-C-Eh2-R3-hek-buccal	HEK2	hek	31792110	30817144	974966	10822	499645	464499	0.0110998742520252	0.51247428115442	0.476425844593555	0.969333082956746	0.000340398922877406	0.0157160062669637	0.0146105118534127
HEK2-C-Eh2-R1-hek-illumina	HEK2	hek	14824373	14373409	450964	14900	197399	238665	0.0330403313790014	0.437726736502249	0.52923293211875	0.969579556585631	0.00100510153110691	0.0133158414187231	0.016099500464539
