diseaseId	name	datasourceId	targetId	score
EFO_0000249	Alzheimer's disease	eva	ENSG00000187091	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000137845	0.5
EFO_0000249	Alzheimer's disease	eva	ENSG00000129003	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000184277	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000215045	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000129003	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000142192	0.72
EFO_0000249	Alzheimer's disease	eva	ENSG00000142192	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000080815	0.32
EFO_0000249	Alzheimer's disease	eva	ENSG00000130203	0.52
EFO_0000249	Alzheimer's disease	eva	ENSG00000137845	0.5
EFO_0000249	Alzheimer's disease	eva	ENSG00000105223	0.3
EFO_0000249	Alzheimer's disease	eva	ENSG00000064687	0.52
EFO_0000249	Alzheimer's disease	eva	ENSG00000064687	0.52
EFO_0000249	Alzheimer's disease	eva	ENSG00000174292	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000280987	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000083937	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000280987	0.9
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000083937	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000147894	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000015479	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000083937	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000003393	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000127824	0.9
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000280987	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000003393	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000142168	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000124164	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000083937	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000089280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000123240	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000280987	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000124164	0.05
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204842	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000120948	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000120948	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000204843	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000107290	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000123240	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000147894	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000124164	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000178568	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000124164	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000123240	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000165280	0.02
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000280987	0.32
EFO_0000253	amyotrophic lateral sclerosis	eva	ENSG00000100285	0.02
