diseaseId	name	datasourceId	targetId	score
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000214274	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000108518	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000161011	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000178568	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000005421	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000122359	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000142168	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000015479	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000135486	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000165280	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000123240	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000105854	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000109819	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000110887	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000105852	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000124164	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000089280	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000112367	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000083937	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000250479	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000188021	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000119392	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000147894	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000120948	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000162063	1
EFO_0000253	amyotrophic lateral sclerosis	orphanet	ENSG00000160226	1
EFO_0002690	systemic lupus erythematosus	orphanet	ENSG00000211896	1
