diseaseId	name	datasourceId	targetId	score
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000078487	0.1379439235
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000174469	0.6982361674
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000074266	0.125670433
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000148737	0.8879683614
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000008283	0.0826937109
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000180448	0.1377625912
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000146904	0.6256924272
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000146904	0.5429395437
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000156170	0.4991773665
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000049759	0.3441764712
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000078177	0.7734341621
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000115539	0.5012471676
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000124098	0.0711160898
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000178226	0.0869041681
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000136717	0.7847085595
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130202	0.4478633702
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000110079	0.390042752
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000110079	0.3805184066
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000180228	0.298281014
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000143258	0.0898898393
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000136717	0.8045886159
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000171408	0.8091148138
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000168918	0.858825922
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000087589	0.720754385
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.0597166009
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000186684	0.0570324026
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000188997	0.1395846158
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000140090	0.6485949755
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000134463	0.6812345386
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000164393	0.0680302009
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000161929	0.1959983408
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000121068	0.2336547673
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.0563274249
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.1053491309
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000186684	0.150653705
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000159784	0.0523032323
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000203710	0.8270159364
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000169291	0.0780219063
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000170236	0.0987366885
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000128923	0.1470388621
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.0563274249
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000143224	0.0683063939
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000158850	0.2128953487
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000158796	0.1611792743
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.630969584
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000150676	0.2742647231
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000064687	0.5741896629
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000161180	0.1022903696
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000166924	0.0629045665
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000113645	0.4359988868
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.6661209464
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000141503	0.1451562643
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000117322	0.0680367053
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000109684	0.3668482006
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000146904	0.5582883358
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000112706	0.1045005396
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.1088221669
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.058437366
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000110079	0.3644244075
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000182087	0.0529402085
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.0563274249
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000138613	0.8499795794
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130204	0.4978282452
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130204	0.4872357845
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000107249	0.7676959038
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000002587	0.3229113817
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.2845627666
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000103642	0.1498219073
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000120885	0.7487614751
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.6265123487
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000146143	0.2902082205
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.1738360375
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000203710	0.7004253864
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130204	0.5271543264
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000090238	0.052232936
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.5514287949
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000179846	0.0799954161
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000120899	0.6642505527
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000110079	0.1392720342
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000145700	0.7425016165
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000149968	0.8024560213
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000224916	0.067679964
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000104228	0.3154016137
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.55774647
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000062370	0.0769659653
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000103642	0.15179874
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000136717	0.7927088737
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000142192	0.7205993533
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130203	0.6296636462
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000073921	0.5588312745
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000239961	0.0679327548
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000198087	0.8190027475
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000203710	0.7062915564
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000187244	0.0501670912
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000137845	0.6482820511
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000158864	0.0888698176
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130202	0.0553591289
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000079156	0.3952991962
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000135960	0.7503194809
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000149534	0.0682784989
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000104853	0.3922430277
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000197721	0.1342444718
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130208	0.3726135492
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000197721	0.1833517849
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130202	0.156988129
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000159640	0.6955791116
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130204	0.4100006819
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000179846	0.0799954161
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000073921	0.4198593795
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000197721	0.1022451818
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000107249	0.7668114901
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000133818	0.2262483984
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000130204	0.4890751839
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000090905	0.4835573733
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000176928	0.094940871
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000110077	0.3162004054
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000092439	0.1902295202
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000146904	0.5582883358
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000105383	0.6624801755
EFO_0000249	Alzheimer's disease	ot_genetics_portal	ENSG00000120885	0.773058176
